2023-05-17 17:05:479 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a]]
2023-05-17 17:05:603 INFO  DesktopPage :38 - Select option from [[[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1c58afd2f049c530102cec4f9f08226f)] -> xpath: //h4/a]]
2023-05-17 17:05:16 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-17 17:05:95 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> link text: Desktops]
2023-05-17 17:05:108 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-17 17:05:501 INFO  HomePage :79 - Select £Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-17 17:05:872 INFO  HomePage :60 - Click on desktop [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> link text: Desktops]
2023-05-17 17:05:892 INFO  HomePage :45 - Select Show AllDesktops from [[[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //nav[@id='menu']//ul/li[contains(@class, 'open')]/div/child::*]]
2023-05-17 17:05:674 INFO  DesktopPage :61 - Select Name (A - Z) to sort by [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> id: input-sort]
2023-05-17 17:05:693 INFO  DesktopPage :48 - Select option from [[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //h4/a]]
2023-05-17 17:05:238 INFO  HomePage :79 - Select £Pound Sterling from [[[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //ul[@class = 'dropdown-menu']/li], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //ul[@class = 'dropdown-menu']/li]]
2023-05-17 17:05:437 INFO  ProductPage :51 - Get text[[ChromeDriver: chrome on WINDOWS (682275f38098af6e15cf28dc3501848b)] -> xpath: //div[@id = 'content']//h1]
2023-05-17 17:05:341 INFO  DesktopPage :61 - Select Name (A - Z) to sort by [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> id: input-sort]
2023-05-17 17:05:356 INFO  DesktopPage :48 - Select option from [[[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a], [[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //h4/a]]
2023-05-17 17:05:903 INFO  ProductPage :51 - Get text[[ChromeDriver: chrome on WINDOWS (1354a0327eb765ba6987e2c9b1f1e6fb)] -> xpath: //div[@id = 'content']//h1]
